policy_loss:0.0058363774,value_loss:0.036882658,policy_entropy:15.491717,approxkl:0.056583155,clipfrac:0.47062492,
policy_loss:-0.002758691,value_loss:0.012257871,policy_entropy:15.509092,approxkl:0.0366792,clipfrac:0.39291644,
policy_loss:0.0050337194,value_loss:0.014213348,policy_entropy:15.531958,approxkl:0.04088377,clipfrac:0.4160418,
policy_loss:-0.0040737316,value_loss:0.0074786907,policy_entropy:15.538544,approxkl:0.036145873,clipfrac:0.39229167,
policy_loss:-0.00051671884,value_loss:0.005231858,policy_entropy:15.557915,approxkl:0.033198025,clipfrac:0.3829166,
policy_loss:0.001468716,value_loss:0.005092916,policy_entropy:15.584447,approxkl:0.035327293,clipfrac:0.39541674,
policy_loss:-0.0065564355,value_loss:0.0077197975,policy_entropy:15.615759,approxkl:0.03265949,clipfrac:0.3795832,
policy_loss:7.115286e-05,value_loss:0.004937013,policy_entropy:15.647097,approxkl:0.029146513,clipfrac:0.36020833,
policy_loss:0.0048384513,value_loss:0.0062343217,policy_entropy:15.662245,approxkl:0.044522785,clipfrac:0.42916664,
policy_loss:-0.0015315204,value_loss:0.0060058963,policy_entropy:15.667046,approxkl:0.03584737,clipfrac:0.41874996,
policy_loss:0.0023257579,value_loss:0.0038038015,policy_entropy:15.699287,approxkl:0.02774548,clipfrac:0.3420834,
policy_loss:0.008046428,value_loss:0.00516868,policy_entropy:15.700305,approxkl:0.030666465,clipfrac:0.36416677,
policy_loss:-0.0026629749,value_loss:0.003678934,policy_entropy:15.7200575,approxkl:0.030167375,clipfrac:0.3679166,
policy_loss:0.00017881126,value_loss:0.01094203,policy_entropy:15.740723,approxkl:0.03809736,clipfrac:0.39999998,
policy_loss:0.0071265637,value_loss:0.02104802,policy_entropy:15.75374,approxkl:0.056672882,clipfrac:0.47270846,
policy_loss:0.0023429398,value_loss:0.009736891,policy_entropy:15.757983,approxkl:0.040774025,clipfrac:0.42062497,
policy_loss:-0.004036482,value_loss:0.005466623,policy_entropy:15.762854,approxkl:0.03285936,clipfrac:0.3879165,
policy_loss:0.0053604553,value_loss:0.0061865146,policy_entropy:15.782959,approxkl:0.03566272,clipfrac:0.37666664,
policy_loss:-0.002457003,value_loss:0.0053418665,policy_entropy:15.801877,approxkl:0.031959,clipfrac:0.37416658,
policy_loss:-0.0046479306,value_loss:0.0037726362,policy_entropy:15.814522,approxkl:0.03722148,clipfrac:0.4058334,
policy_loss:-0.003496353,value_loss:0.004497664,policy_entropy:15.831497,approxkl:0.038556732,clipfrac:0.42250004,
policy_loss:-0.0014816264,value_loss:0.0043593994,policy_entropy:15.848297,approxkl:0.030659642,clipfrac:0.3560416,
policy_loss:-0.002728526,value_loss:0.0032473202,policy_entropy:15.858729,approxkl:0.031725343,clipfrac:0.37895826,
policy_loss:-0.011186579,value_loss:0.0037608426,policy_entropy:15.8630295,approxkl:0.03928838,clipfrac:0.40854168,
policy_loss:-0.0021768,value_loss:0.0035560254,policy_entropy:15.878763,approxkl:0.032734446,clipfrac:0.38374993,
policy_loss:0.004313454,value_loss:0.004032291,policy_entropy:15.898979,approxkl:0.041020405,clipfrac:0.41666657,
policy_loss:0.00097137596,value_loss:0.004174415,policy_entropy:15.919998,approxkl:0.035236094,clipfrac:0.38749996,
policy_loss:-0.002925832,value_loss:0.016210955,policy_entropy:15.945379,approxkl:0.054406177,clipfrac:0.43666664,
policy_loss:-0.004413465,value_loss:0.026113216,policy_entropy:15.964638,approxkl:0.042670272,clipfrac:0.42354172,
policy_loss:0.00342572,value_loss:0.008772373,policy_entropy:15.9895935,approxkl:0.045789313,clipfrac:0.44791666,
policy_loss:-0.0035873787,value_loss:0.006245372,policy_entropy:16.00905,approxkl:0.03187004,clipfrac:0.36458334,
policy_loss:-0.0064798333,value_loss:0.0045414064,policy_entropy:16.025785,approxkl:0.0421085,clipfrac:0.43208328,
policy_loss:-0.0061273384,value_loss:0.0037982098,policy_entropy:16.044733,approxkl:0.04598794,clipfrac:0.45145828,
policy_loss:-0.002629603,value_loss:0.0036888178,policy_entropy:16.06323,approxkl:0.025091788,clipfrac:0.32729155,
policy_loss:-0.008411541,value_loss:0.0061335554,policy_entropy:16.081318,approxkl:0.038474806,clipfrac:0.41354164,
policy_loss:-0.0017630104,value_loss:0.0040588803,policy_entropy:16.100124,approxkl:0.037670456,clipfrac:0.4014582,
policy_loss:-0.0023211618,value_loss:0.0041842433,policy_entropy:16.107464,approxkl:0.03907094,clipfrac:0.39916658,
policy_loss:0.0059382063,value_loss:0.009678505,policy_entropy:16.109997,approxkl:0.04845854,clipfrac:0.453125,
policy_loss:0.001287259,value_loss:0.0055837347,policy_entropy:16.119307,approxkl:0.039452307,clipfrac:0.41208345,
policy_loss:-0.0009496386,value_loss:0.004330189,policy_entropy:16.137043,approxkl:0.039569024,clipfrac:0.42208338,
policy_loss:0.00014797712,value_loss:0.0042229732,policy_entropy:16.145733,approxkl:0.030375412,clipfrac:0.37229162,
policy_loss:-0.0009536402,value_loss:0.025192808,policy_entropy:16.144972,approxkl:0.04349271,clipfrac:0.41187492,
policy_loss:0.009733895,value_loss:0.029196128,policy_entropy:16.163685,approxkl:0.04111246,clipfrac:0.41291675,
policy_loss:-0.000643839,value_loss:0.009389657,policy_entropy:16.191803,approxkl:0.032563724,clipfrac:0.38562495,
policy_loss:0.0030731796,value_loss:0.006774732,policy_entropy:16.217932,approxkl:0.033396825,clipfrac:0.38791662,
policy_loss:-0.008960626,value_loss:0.008376928,policy_entropy:16.245352,approxkl:0.04323254,clipfrac:0.42145824,
policy_loss:-0.0036785845,value_loss:0.007899979,policy_entropy:16.272207,approxkl:0.03166599,clipfrac:0.37854168,
policy_loss:-0.0043601207,value_loss:0.0059237597,policy_entropy:16.284359,approxkl:0.034636784,clipfrac:0.4072917,
policy_loss:6.307755e-05,value_loss:0.004885196,policy_entropy:16.289722,approxkl:0.029392738,clipfrac:0.36229149,
policy_loss:-0.003875298,value_loss:0.005671275,policy_entropy:16.298237,approxkl:0.034615222,clipfrac:0.3833333,
